stop_id,stop_name,stop_lat,stop_lon
7469908,Vibergen,59.17885316977699,17.614535672415858
7469909,Hovsjö centrum,59.1764295467839,17.60737574055234
7469910,Torslund,59.249067910799674,17.66234073121776
7469911,Jovisgatan,59.19694485994265,17.624243344333618
7469904,Hertig Carls väg,59.18901276132629,17.6270767023248
7469905,Scania centralkontor,59.18208379461472,17.63136185487441
7469906,Förmansvägen,59.18108368590176,17.62327841805281
7469907,Saltskogs centrum,59.17927662025082,17.62087331291756
7469916,Brolundavägen,59.19519738798763,17.600085305765916
7469917,Mårten Bullers väg,59.19098234391605,17.594509413225428
7469918,Gymnastikvägen,59.18797458203484,17.58992520412085
7469919,Vasa handelsplats,59.18806081777122,17.57902833871135
7469912,Villagatan,59.19746205846297,17.616779485049538
7469913,Kvarnberget,59.1994999425668,17.612283756902553
