gtfsid;id
7400212;Rft
7400274;Toy
7400210;Gä
7400468;Lyd
7400738;Hnä
7400054;Hlv
7400087;Mkl
7400225;Tof
7400602;Gnp
7400265;Ntv
7400705;Jkb
7441205;Än
7401579;Fabp
7400200;Cr
7401410;Stje
7401011;Asd
7400335;Krd
7400294;Bst
7401422;Len
7400063;Ens
7400496;Fal
7400288;Fle
7401012;Apn
7400187;Hkl
7400490;Kvh
7400158;Rv
7400006;Hm
7401024;Bor
7400476;Öh
7464305;Fid
7400066;Nol
7400128;Bn
7400605;Vhd
7400759;So
7400119;Uv
7400207;Hås
7400952;Sg
7400031;Flb
7400164;Syd
7400203;Fd
7400553;Kin
7400078;Sä
7400040;Hr
