StopID;StopArea;SiteID;Name;Long;Lat;Zone;Type;GTFS ID;GTFS Name;GTFS Long;GTFS Lat;Dist
12315;12315;12316;Inspektorsbacken;59,3754827891;17,8820272723;A1;BUSTERM;7449897;Inspektorsbacken;59,37547766;17,8823438984;0,0174147526
12318;12317;12318;Västergöksvägen;59,3782182912;17,8771439885;A1;BUSTERM;7449901;Västergöksvägen;59,3778767571;17,8771585654;0,0022131398
12320;12320;12320;Östergårdsvägen;59,3803086657;17,8817767175;A1;BUSTERM;7449915;Östergårdsvägen;59,380308573;17,8817769213;1,12043847073509E-005
12321;12321;12321;Renstigen;59,3804334664;17,884089775;A1;BUSTERM;7449916;Renstigen;59,3804333738;17,8840899787;1,12045994598747E-005
12322;12308;12322;Täbylundsvägen;59,3660309539;17,886885467;A1;BUSTERM;7449870;Täbylundsvägen/Vällingbyvägen;59,3663179156;17,8874661747;0,0329353243
12326;12325;12326;Solhöjden;59,383339819;17,9039095315;A1;BUSTERM;7449974;Solhöjden;59,3833206544;17,9039789582;0,0038229101
12332;12331;12332;Bromstens gård;59,3819201435;17,9112136551;A1;BUSTERM;7450056;Bromstens gård;59,381566516;17,9114207343;0,012902492
12334;12329;12334;Fristad;59,3785420621;17,9157732803;A1;BUSTERM;7450054;Fristad;59,3782556405;17,9162660317;0,0280939807
12341;12340;12341;Ursviksvägen;59,3654196122;17,9572125424;A1;BUSTERM;7450098;Ursviksvägen;59,3654823106;17,9572167214;0,0002774118
12343;12342;12343;Fredsgatan;59,3643143725;17,9610653122;A1;BUSTERM;7450151;Fredsgatan;59,3643310583;17,9611369431;0,0039430709
12347;12330;12347;Cervins väg;59,38369735;17,9101446041;A1;BUSTERM;7450055;Cervins väg;59,3840423868;17,9099021844;0,0147735913
12349;12349;12350;Persikogatan;59,3639304772;17,8344089256;A1;BUSTERM;7416367;Persikogatan;59,3639825697;17,8345177836;0,00602002
12229;12229;12390;Flygverkstäderna;59,3569940523;17,9541115856;A1;BUSTERM;7449269;Flygverkstäderna;59,356742501;17,954658676;0,0308556377
12393;12227;12393;Bromma handelscenter;59,354842858;17,95823142;A1;BUSTERM;7449268;Bromma handelscenter;59,354730193;17,9585234549;0,0162155108
12400;12047;12400;Grindstuvägen;59,3362837913;17,9738425082;A1;BUSTERM;7449138;Grindstuvägen;59,3364269281;17,9738694156;0,0017278138
12401;12099;12401;Alvik södra;59,3336537445;17,9845538534;A1;BUSTERM;7445466;Alvik södra;59,333809664;17,9843531456;0,0113330868
12402;12402;12402;Margretelundsvägen;59,3372756727;17,9832917712;A1;BUSTERM;7450276;Margretelundsvägen;59,3372758731;17,9832744167;0,0009544997
12403;12403;12403;Svartviksslingan;59,3382715857;17,9860272867;A1;BUSTERM;7450485;Svartviksslingan;59,3382717865;17,9860099317;0,0009545257
12404;12404;12404;Gesundaplan;59,3381780188;17,9814160183;A1;BUSTERM;7450584;Gesundaplan;59,3381779259;17,9814162219;1,11982803108538E-005
12405;12405;12405;Kebnekaisevägen;59,3381867594;17,9781999212;A1;BUSTERM;7450674;Kebnekaisevägen;59,3381869592;17,9781825661;0,0009545289
12408;12408;12408;Vidängsvägen;59,3397329176;17,9791775692;A1;BUSTERM;7450675;Vidängsvägen;59,3397328248;17,9791777728;1,11985663634497E-005
12409;12409;12409;Svartviksvägen;59,3356081119;17,9901100117;A1;BUSTERM;7450720;Svartviksvägen;59,335608019;17,9901102153;1,11980605249027E-005
12410;12410;12410;Tranebergsslingan;59,3341880576;17,9896497631;A1;BUSTERM;7450813;Tranebergsslingan;59,3341882589;17,9896324102;0,0009544085
12411;12411;12411;Bengt Tranas väg;59,3368471378;17,9911914367;A1;BUSTERM;7450814;Bengt Tranas väg;59,336847045;17,9911916403;1,11985277229182E-005
12407;12045;12412;Tranebergsplan;59,3346999298;17,9783639467;A1;BUSTERM;7449136;Tranebergsplan;59,3351793482;17,9781487085;0,0146191849
12413;12413;12413;Minneberg;59,3394205169;17,9898098897;A1;BUSTERM;7450837;Minneberg;59,3394207182;17,9897925342;0,0009545553
12427;12427;12428;Björnflokevägen;59,3831698319;17,8478427839;A1;BUSTERM;7450848;Björnflokevägen;59,3827969839;17,8481373692;0,0178842848
12429;12429;12429;Björnmossevägen;59,3795072137;17,8495055676;A1;BUSTERM;7450887;Björnmossevägen;59,3795071211;17,8495057713;0,000011202
12439;12439;12439;Tenorgränd;59,3830162564;17,85934387;A1;BUSTERM;7450899;Tenorgränd;59,3830161638;17,8593440738;1,12037302329948E-005
12443;12443;12443;Ångermannagatan;59,3630241242;17,8851182781;A1;BUSTERM;7450915;Ångermannagatan;59,3630240315;17,8851184817;1,11993467956935E-005
12445;12445;12445;Vällingbyskolan;59,3620394975;17,8809773543;A1;BUSTERM;7450921;Vällingbyskolan;59,3620394049;17,8809775579;1,11987584384583E-005
12452;12452;12453;Härjedalsgatan;59,3663259539;17,8722851059;A1;BUSTERM;7450922;Härjedalsgatan;59,3667713308;17,872505906;0,01454417
12454;12454;12455;Sorselevägen;59,3704203865;17,867185718;A1;BUSTERM;7450923;Sorselevägen;59,3703917152;17,8672897482;0,0057316098
12458;12458;12459;Svandammen;59,3807110897;17,8931349839;A1;BUSTERM;7450928;Svandammen;59,3807011827;17,8931873811;0,0028830343
12461;12460;12461;Värsta allé;59,3818405791;17,8966187052;A1;BUSTERM;7450929;Värsta allé;59,3819111233;17,8966936559;0,0041825004
12463;12463;12463;Råcksta begravningsplats;59,3563350744;17,870956741;A1;BUSTERM;7445496;Råcksta begravningsplats;59,3563349818;17,8709569446;1,11963659545414E-005
12464;12464;12464;Utgårdsvägen;59,3829356758;17,8769389115;A1;BUSTERM;7450930;Utgårdsvägen;59,3829355832;17,8769391153;1,12048796296685E-005
12466;12466;12467;Älvkvarnsvägen;59,3833099363;17,87372331;A1;BUSTERM;7450931;Älvkvarnsvägen;59,3832874431;17,8740037517;0,0154304158
12469;12468;12469;Uppgårdsvägen;59,3831801574;17,8711457981;A1;BUSTERM;7450932;Uppgårdsvägen;59,3832293711;17,8708673991;0,0153412464
12473;12473;12473;Bergslagsvägen;59,3589959586;17,8707666446;A1;BUSTERM;7450935;Bergslagsvägen (Grimsta);59,358995866;17,8707668482;1,11971907273769E-005
12475;12475;12475;Grimsta;59,3600376578;17,8684907154;A1;BUSTERM;7450936;Grimsta;59,3600378431;17,8684733478;0,0009552186
12477;12477;12477;Grimstaskolan;59,3613727648;17,8658278942;A1;BUSTERM;7450938;Grimstaskolan;59,3613729497;17,8658105258;0,0009552579
12479;12479;12479;Gulddragargränd;59,3637752996;17,8615232575;A1;BUSTERM;7450939;Gulddragargränd;59,363775484;17,8615058879;0,0009553283
12483;12482;12483;Sörgårdsskolan;59,3837036632;17,854457367;A1;BUSTERM;7450942;Sörgårdsskolan;59,3835834953;17,855242335;0,043347973
12476;12476;12485;Tumultgränd;59,3841613854;17,8498912588;A1;BUSTERM;7450937;Tumultgränd;59,384082088;17,8503619061;0,0259616868
12486;12486;12486;Skattegårdsvägen;59,3791599483;17,8487455628;A1;BUSTERM;7450949;Skattegårdsvägen;59,379160131;17,8487281852;0,0009557699
12487;12472;12487;Jämtlandsgatan;59,3581378853;17,8767468949;A1;BUSTERM;7450934;Jämtlandsgatan;59,3581733962;17,8767668546;0,0011130438
12431;12431;12488;Björnbodaskolan;59,3780982528;17,8494559886;A1;BUSTERM;7450889;Björnbodaskolan;59,3780690446;17,8495952189;0,0076679865
12446;12446;12491;Koppargården;59,3631919677;17,8909155878;A1;BUSTERM;7445497;Råcksta Koppargården;59,3633351018;17,8915050446;0,0326680248
12435;12435;12492;Krossgatan;59,3734119765;17,8574084949;A1;BUSTERM;7450896;Johannelund Krossgatan (på Ska;59,3733944954;17,8573724587;0,0019856912
