gtfsid,id,type,Name
7400782,580,0,Upplands Väsby
7453531,581,0,Mörtsal hpl E4
7400301,582,0,Tierp station
7417388,584,0,Landskrona McDonalds
7417330,590,0,Lund Höjdpunkten
7401586,591,0,Malmö Hyllie Arenan
7471549,592,0,Finspång Bruksparken
7466545,600,0,Frösunda
7401179,604,0,Karolinska sjh huvudentren
7443467,606,0,Västerås Campus
7400532,609,0,Vemdalen Hpl Byn
7401102,610,0,Björnrike vägskäl
7417773,611,0,Sveg Björnen
7400463,612,0,Kårböle Preem
7400460,613,0,Färila Busstn
7400146,614,0,Järvsö Jvstn
7400753,615,0,Vallsta
7418293,617,0,Uppsala Hj. Brantingsgata 42-46
7400526,618,0,Brunflo Jvstn
7413365,620,0,Hackås Näcksta
7401552,621,0,Svenstavik Busstn
7400163,622,0,Åsarna
7400503,624,0,Ytterhogdal Busstn
7400590,625,0,Edsbyn Busstn
7419826,630,0,Forsa Folkhögskolan
7400187,631,0,Hudiksvall ReseC
7435832,634,0,Insjön Riksv 70
7400077,635,0,Hallsberg
7400166,636,0,Katrineholm
7400001,637,0,Stockholm Central
7690017,638,0,Kalnes Sjukhus
7448763,649,0,Malung Vårdcentral
7413113,650,0,Öje Centrumhuset
7420170,651,0,Mora Strand
7425424,652,0,Mora Noret
