name;lat;lon;id;gtfsid;gtfsname;gtfslat;gtfslon
Bankeryd Borstingevägen;57.846161048618;14.135362328195;1513;7439813;Bankeryd Borstingevägen;57.846161129919;14.135362736736
Bankeryd Domsandsvägen;57.867286450779;14.11665503186;1509;7425478;Bankeryd Domsandsvägen;57.867286530884;14.116655444966
Bankeryd Ebbarpsvägen;57.857825078375;14.112229482862;1498;7439801;Bankeryd Ebbarpsvägen;57.857825159559;14.112229894916
Bankeryd Floragatan;57.857346212134;14.126875354527;1514;7439814;Bankeryd Floragatan;57.857346292749;14.12687576537
Bankeryd Grottvägen;57.860910216904;14.143153789211;1518;7439818;Bankeryd Grottvägen;57.860910296512;14.143154199313
Bankeryd Hovagärdet;57.850103431521;14.130598195624;1512;7439812;Bankeryd Hovagärdet;57.850103512656;14.130598605112
Bankeryd Höjdhoppsvägen;57.850645182375;14.139685640114;1522;7439822;Bankeryd Höjdhoppsvägen;57.850645263081;14.139686048984
Bankeryd Kyrkskolan;57.848818087855;14.113595732613;1496;7439799;Bankeryd Kyrkskolan;57.848818169826;14.113596143219
Bankeryd Mogatan;57.862753338242;14.116126101315;1500;7439803;Bankeryd Mogatan;57.862753418798;14.116126513793
Bankeryd Nyarpsgatan;57.859089767754;14.131056686732;1515;7439815;Bankeryd Nyarpsgatan;57.859089848033;14.131057097506
Bankeryd Pilgatan;57.859750617638;14.113183611878;1499;7439802;Bankeryd Pilgatan;57.859750698601;14.113184024143
Bankeryd Prinseryd;57.844507287415;14.112231759171;1510;7439810;Bankeryd Prinseryd;57.844507369844;14.112232169237
Bankeryd Prinsfors;57.855329677938;14.112986867816;1497;7439800;Bankeryd Prinsfors;57.855329759325;14.11298727944
Backen;58.127240518898;14.219177529151;23501;7441030;Backen;58.127240568118;14.219177966672
Baggebolet;58.116213219349;14.2112512549;23502;7441031;Baggebolet;58.116213270069;14.211251691965
Bankeryd Aspåsen;57.853805570053;14.128050966277;1511;7439811;Bankeryd Aspåsen;57.853805650951;14.128051376507
Bankeryd Attarpsvägen;57.859682368143;14.123582218983;1504;7424007;Bankeryd Attarpsvägen;57.859779831257;14.123476995712
Bankeryd Backamo;57.86599185275;14.116547201128;1501;7423522;Bankeryd Backamo;57.865991932982;14.116547614052
Bankeryd Bankgatan;57.860226879344;14.124011717172;1629;7445044;Bankeryd Bankgatan;57.860226959809;14.124012128661
Bankeryd Berghagsgatan;57.864055414741;14.139891393795;1517;7439817;Bankeryd Berghagsgatan;57.864055494189;14.139891804608
Bankeryd Borstingevägen;57.846161048618;14.135362328195;1513;7439813;Bankeryd Borstingevägen;57.846161129919;14.135362736736
Bankeryd Domsandsvägen;57.867286450779;14.11665503186;1509;7425478;Bankeryd Domsandsvägen;57.867286530884;14.116655444966
