gtfsid,rt90-x,rt90-y
7400387,7234579.97,1637909.979
7400388,6305414.01,1429236.015
7400389,7205899.96,1674057.987
7400390,7073844.938,1723089.98
7400391,7130378.939,1744825.989
7400392,6650070.983,1606203.994
7400394,7290058.973,1474508.917
7400395,7118158.946,1575170.968
7400396,6390018.007,1476801.019
7400397,6156037.012,1337452.975
7400398,6715343.959,1420826.019
7400399,6925039.944,1583229.98
7400400,7013077.942,1635668.975
7400401,7039873.942,1614847.974
7400402,6363534.027,1299720.026
7400403,7028863.941,1668203.975
7400404,6419334.006,1535880.017
7400405,6387950.007,1486844.019
7400406,6711531.959,1413304.021
7400407,6915257.943,1562861.982
7400408,6881111.93,1423933.999
7400409,6910244.945,1581694.981
7400410,6615632.976,1332121.043
7400411,7047793.937,1533060.97
7400413,6969228.942,1604490.976
7400414,7497871.107,1682959.036
7400415,6151631.005,1359765.978
7400416,7378475.019,1714049.03
7400417,6933883.943,1587705.979
7400418,6607385.978,1344327.04
7400419,6629927.976,1427744.023
7400420,7063004.922,1440978.964
7400421,7082517.932,1487697.963
7400422,7156448.924,1420298.939
7400423,6999911.936,1527804.976
7400425,7052787.929,1477419.967
7400426,6602746.979,1353682.038
7400427,6503262.999,1362190.035
7400428,7222160.965,1561453.957
7400429,6998157.913,1396118.979
7400431,6576669.986,1450750.021
7400432,6248070.016,1367560.002
7400433,6658230.966,1351258.037
7400434,7112213.939,1519261.961
7400435,6219300.02,1339879.993
7400436,7217835.945,1452269.928
7400438,6663890.981,1607537.993
7400439,6339202.015,1380664.018
7400440,6417830.024,1274858.04
7400441,6239799.006,1420397.006
7400442,6476390.005,1334150.038
7400445,7043136.905,1371673.968
7400446,6709497.958,1400841.023
7400447,7395691.036,1678763.014
7400448,7025788.903,1364740.973
7400449,6974847.903,1346807.988
7400450,6202110.007,1385569.995
7400451,7168936.951,1540494.958
7400452,7040979.915,1410659.968
7400453,7193599.93,1418307.927
7400454,7006447.93,1489499.975
7400455,7007503.902,1356865.979
7400456,6431315.023,1265895.044
7400458,6657864.982,1607373.994
7400460,6853819.944,1501769.993
7400462,6708975.962,1453473.014
7400463,6874969.938,1473469.994
7400464,7387749.97,1850350.1
7400465,6340815.016,1374980.018
7400466,6504359.998,1377900.032
7400467,6991209.942,1620705.975
7400468,6521659.994,1398960.03
7400469,6220519.997,1492300.015
7400470,6694307.979,1645834.985
7400471,7128013.938,1748815.989
7400472,6719791.955,1391392.024
7400473,7435477.061,1675646.018
7400474,6166070.013,1339579.978
7400475,6951803.901,1327651.997
7400476,6680436.978,1605313.992
7400477,7216434.949,1754856.007
7400478,6490242.002,1354126.035
7400479,7280508.984,1655155.988
7400480,6476161.012,1273191.049
7400481,6948214.897,1313860
7400482,6621182.977,1428238.023
7400483,6686209.974,1559759.999
7400484,6526944.993,1408247.028
7400485,6849639.949,1556069.987
7400486,7074184.916,1414915.96
7400487,6362758.007,1501196.019
7400488,6235460.006,1420980.006
7400489,6991009.937,1541525.976
7400490,6359854.013,1397200.02
7400491,6941339.903,1332281.999
7400492,6615934.99,1619724.995
7400493,6925087.917,1381703.996
7400495,6935215.923,1417013.991
7400496,6446696.004,1523717.017
7400497,6891402.919,1367804.005
7400498,7152104.937,1765354.995
7400499,6349972.024,1322547.022
7400500,6343397.007,1513745.019
7400501,6633664.972,1349784.038
7400502,6377654.019,1338328.025
7400503,6898648.932,1450553.993
7400504,6626087.974,1350491.038
7400505,6137740.006,1345999.971
7400506,6959056.899,1325174.995
7400507,6510374.998,1348971.037
7400508,6609212.978,1355058.038
7400510,6374086.008,1452868.02
7400511,6295631.007,1459381.015
7400512,6491720.001,1365213.034
7400513,6417889.021,1291742.037
7400514,7078263.938,1529570.967
7400515,6464198.017,1257834.051
7400516,6493446.998,1469229.02
7400517,6291379.024,1336252.01
7400518,6352610.016,1368651.02
7400519,6311441.015,1389282.014
7400520,6215221.027,1313731.989
7400521,6237020,1488540.015
7400522,6403473.007,1549191.017
7400523,6375967.017,1352844.024
7400524,6353029.008,1459008.019
7400525,6356050.01,1572440.02
7400526,6996584.924,1450826.977
7400527,7091147.938,1525610.965
7400529,6942386.9,1320226
7400530,6929522.907,1338718.001
7400531,6425286.011,1363106.029
7400532,6927914.92,1399780.994
7400533,6399001.01,1399264.023
7400535,7037348.938,1555003.972
7400536,6274362.016,1373492.008
7400537,6251410.019,1355700.002
7400538,7065687.939,1553195.97
7400539,6396182.01,1397489.023
7400540,6410451.022,1289805.036
7400541,7140595.938,1753487.992
7400542,6618672.975,1351271.038
7400543,6408666.006,1493954.019
7400545,6474640,1458324.022
7400546,6423576.014,1335063.032
7400547,6393735.008,1441993.021
7400548,6248360.007,1424700.008
7400549,6242330.021,1343699.999
7400550,7128153.943,1529196.961
7400551,6467974.003,1537474.015
7400552,6427415.013,1335620.032
7400553,6379893.023,1313790.028
7400554,6399085.024,1290624.034
7400555,6302171.015,1385928.013
7400556,6616314.989,1619759.995
7400557,6389565.028,1277095.034
7400558,6306500.007,1551890.022
7400559,6624545.988,1611473.996
7400561,6324030.007,1538970.021
7400564,6230999.999,1482960.014
7400567,6242380.015,1370310.001
7400569,6438053.013,1323091.035
7400570,7468971.082,1691409.036
7400571,7258251.957,1763942.02
7400572,6251920.001,1516070.02
7400573,6784979.938,1363310.023
7400574,6892209.908,1317670.013
7400575,6791009.942,1405420.014
7400576,6484021.001,1530236.015
7400577,7271455.982,1580388.96
7400578,6388135.013,1376956.024
7400579,7485518.096,1684220.034
7400580,6422884.023,1273050.041
7400583,6231640.003,1439710.008
7400584,6209852.001,1430941.004
7400585,6421954.024,1269288.042
7400587,6455189.002,1492905.019
7400588,6213590.002,1429750.004
7400589,6803329.952,1513899.997
7400590,6806399.95,1500759.998
7400591,6193910.011,1366359.99
7400592,6875319.947,1565669.984
7400593,6453326.004,1546938.015
7400594,6455688.011,1318492.038
7400596,6754139.964,1568619.993
7400597,6241190,1512110.019
7400598,6846909.941,1467259.998
7400599,6869119.948,1574159.984
7400600,6452140.005,1391197.028
7400601,6837119.952,1567569.987
7400602,6883343.947,1575268.983
